train_size,spearmanr,p_value
10,0.3369670995414323,2.375452678692874e-31
25,0.45762975199767975,1.80332510699372e-59
50,0.589607092215839,1.453646407793302e-106
75,0.6069599643825819,1.7418746399882797e-114
100,0.6444537468578373,2.1930386297536517e-133
200,0.684115204971454,1.6691704832050994e-156
300,0.7289851831030704,1.4607692268250995e-187
400,0.745159498198495,2.431258530757984e-200
500,0.7525109495868034,1.787663970037499e-206
600,0.7486485110620975,3.1730610343387625e-203
700,0.7570842663932372,2.1203140322147026e-210
800,0.7493923900621914,7.591763018777186e-204
900,0.778316202858304,7.725770993843661e-230
1000,0.7569947372084735,2.5356654560020484e-210
1100,0.7602212158545215,3.8253439487210866e-213
1200,0.7740583117172036,9.034873010430654e-226
1300,0.7676253245836628,8.622644302005476e-220
1400,0.7734003834099907,3.771830507763859e-225
1500,0.7692177994567092,2.975310708619768e-221
1600,0.7549999704518365,1.3377884818429604e-208
1700,0.7807818840969581,3.0943903025596125e-232
